test_number,stageinflight,time(s),ax(ms2),ay(ms2),az(ms2),gx(deg/s),gy(deg/s),gz(deg/s),pitch_error(deg),roll_error(deg),yaw_error(deg),pitch_output,roll_output,yaw_output,m0_output(pwm),m1_output(pwm),m2_output(pwm),m3_output(pwm)
1, 1, 11.12, -0.62, 0.24, 9.62, -0.07, -0.02, 0.06, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.12, -0.67, 0.23, 9.74, -0.11, -0.00, 0.01, -1.29, -3.23, 0.14, -2.70, -6.770.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.12, -0.64, 0.26, 9.67, 0.02, 0.00, -0.03, -1.29, -3.23, 0.14, -2.70, -6.770.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.13, -0.66, 0.25, 9.71, -0.02, -0.13, -0.06, -1.29, -3.23, 0.14, -2.70, -6.770.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.13, -0.68, 0.25, 9.70, 0.04, 0.05, 0.03, -1.29, -3.23, 0.14, -2.70, -6.770.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.14, -0.65, 0.31, 9.74, -0.07, -0.05, -0.02, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.14, -0.67, 0.30, 9.71, 0.07, -0.15, -0.03, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.01, 1012.59, 1004.46, 1018.94
1, 1, 11.15, -0.66, 0.21, 9.69, 0.12, -0.18, -0.06, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.59, 1004.46, 1018.94
1, 1, 11.15, -0.62, 0.19, 9.77, 0.02, -0.05, -0.16, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.94
1, 1, 11.16, -0.67, 0.18, 9.62, -0.02, -0.02, 0.03, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.59, 1004.45, 1018.94
1, 1, 11.16, -0.65, 0.27, 9.71, -0.05, -0.04, -0.02, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.94
1, 1, 11.16, -0.65, 0.23, 9.66, -0.07, -0.04, -0.11, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.94
1, 1, 11.17, -0.59, 0.24, 9.70, 0.07, 0.05, 0.04, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.03, 1012.58, 1004.46, 1018.94
1, 1, 11.17, -0.68, 0.21, 9.65, -0.02, -0.10, -0.00, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.45, 1018.94
1, 1, 11.18, -0.63, 0.23, 9.68, 0.18, 0.10, 0.12, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.94
1, 1, 11.18, -0.68, 0.24, 9.69, -0.07, 0.00, 0.04, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.94
1, 1, 11.19, -0.63, 0.16, 9.72, 0.05, -0.00, -0.05, -1.29, -3.23, 0.14, -2.70, -6.760.48, 1000.02, 1012.58, 1004.46, 1018.93
